,Names,bmb,bml,bmg,A,ismr,bmb_nf
0,Larsen G,0.09083181607874295,0.11549108485516767,-0.024659268776424714,0.468984837388072,0.18895366942780994,0.08825648842641015
1,Larsen F,0.3600491611432095,0.4015295846556298,-0.04148042351242032,1.097299570131408,0.32011994157984747,0.30838660348844193
2,Larsen E,0.9868057136111038,1.1093552177902255,-0.1225495041791217,1.4633603611670924,0.6578948747825756,0.8519877496557031
3,Larsen D,3.675859420026331,4.77061381787633,-1.0947543978499992,12.614345251115523,0.2842957157767401,3.2198054696622256
4,Larsen C,15.801074679934823,17.09174638309427,-1.2906717031594486,55.74539679388561,0.27653731969240225,13.544579733587295
5,Larsen B,2.4638940252708537,2.5278690734883806,-0.06397504821752698,4.137674079803881,0.5809541792519993,1.5711583935328561
6,Wordie,0.3355251153578238,0.33891437411093017,-0.003389258753106361,0.9264749718999068,0.3533193943572793,0.17178324575441284
7,Wilkins,29.104083945289936,29.143451307741213,-0.03936736245127648,14.740702614925798,1.9262465963160054,20.004641524479936
8,Bach,22.712127201093857,22.773672940631755,-0.061545739537898214,5.857901884184731,3.7826124979899363,18.409631312515778
9,George VI 1,103.06838918929128,103.16772093153135,-0.09933174224006791,13.157338853861926,7.642466851024236,96.31346474769948
10,George VI 2,85.39913224818108,85.39968722426387,-0.0005549760827960881,10.666890450627792,7.810732375027605,83.76327287731061
11,George VI,188.46752143747236,188.56740815579522,-0.099886718322864,23.82422930448972,7.7178048562214565,180.07673762501008
12,Stange,22.258596291236117,22.273760806736703,-0.015164515500586617,9.378396564449929,2.3155028207149218,19.131539685773014
13,Ronne,86.56660747576994,113.62266868420885,-27.056061208438905,350.3152311210322,0.24108351365530653,84.5403216602356
14,Ferrigno,2.232749402087297,2.232749402087297,0.0,0.40234932319301836,5.413932555697068,0.9796592937041928
15,Venable,17.832376545882344,17.832376545882344,0.0,3.6430964092502807,4.775454332856481,13.727905170351942
16,Abbot,88.50176515135817,88.57027601229561,-0.06851086093743675,34.16560603938736,2.527196075901027,76.10432444282299
17,Cosgrove,12.257534844975604,12.298326304054386,-0.040791459078782566,3.233398712400622,3.6984521997243656,10.242560058971048
18,Pine Island,46.794792113260996,46.79642963456083,-0.0016375212998340771,6.492876678564007,7.031314158634467,41.0347565657753
19,Thwaites,33.954666758122016,33.967013103659795,-0.012346345537778802,4.5536219187793465,7.2747594651304155,26.701381233500232
20,Crosson,3.6695936087394685,4.098776483283032,-0.42918287454356374,3.1911985087586188,1.1218641885716296,1.7492138134798598
21,Dotson,4.3285554138708395,4.650376216873921,-0.3218208030030816,5.8539565233579,0.7213891792211253,3.451522568665479
22,Getz,76.27531887320453,77.3572435469903,-1.0819246737857782,37.17299033233795,2.0018552335138575,62.326416589445614
23,Land,2.4132240557625795,2.413481704128569,-0.0002576483659897377,0.7311166840399447,3.22023144026989,1.700260172080298
24,Nickerson,27.34629904571434,27.34673511314319,-0.0004360674288506061,7.594440969210394,3.5130059276679346,23.863473578050414
25,Sulzberger,93.26614068402874,93.27573411521402,-0.00959343118528011,12.570868339169753,7.2382713993897125,90.5747907017558
26,Swinburne,22.01501720932463,22.01501720932463,0.0,1.586997376184431,13.533775097796228,15.725543994786529
27,Withrow,6.293639748711949,6.293639748711949,0.0,1.1283868910425197,5.441516902534991,3.7861684545581498
28,Ross West,49.253216547688595,55.52396500561651,-6.270748457927915,285.53407839851934,0.16828785850228656,43.4974645010902
29,Ross East [7],32.39361649468489,36.385224153087876,-3.991607658402984,205.4395006246605,0.15383374760649043,28.574808678247262
30,Drygalski,1.9181263012078702,2.0624477200398426,-0.14432141883197236,2.8095292342221025,0.6660698561493563,1.2662347561081722
31,Nansen,0.311084850528402,0.4655274855519571,-0.1544426350235551,2.2027208320607743,0.13778296855971572,0.15424645428741068
32,Aviator,0.09689826238823347,0.11487059064502157,-0.0179723282567881,0.7416203068963537,0.1274707410999653,0.08101736422102951
33,Mariner,2.1289017489123623,2.2593567358797,-0.13045498696733793,3.1531780691420246,0.6586933152738829,1.845926850963967
34,Lillie,2.377934322365076,2.4627512719213698,-0.0848169495562936,0.9836895016651793,2.3584026467004553,2.251216719764071
35,Rennick,1.0292211583339113,1.449389230731345,-0.4201680723974337,3.345226782527841,0.3001644637359469,0.8927983814008387
36,Cook,14.899108386965779,14.899108386965779,0.0,4.0534271568709626,3.586031014480999,11.255477185771488
37,Ninnis,5.551903678642907,5.554088280261736,-0.002184601618829163,1.8438508825214388,2.9375973106843576,4.6008527570049695
38,Mertz,9.952517382999694,10.474074650236677,-0.5215572672369824,6.937115706663495,1.399684460684183,6.720296904376348
39,Dibble,6.07264801321591,6.260577376137211,-0.18792936292130058,2.0786469472893354,2.8501880296535282,4.778191308433557
40,Holmes,4.988351277949369,5.005797629188561,-0.017446351239192026,2.6736290955534328,1.820254044101713,3.0539851052821674
41,Moscow University,8.089896669233983,9.800344830650992,-1.710448161417009,5.754853733296576,1.3714652851489066,4.917689812691545
42,Totten,16.921590231867025,20.93748190827918,-4.015891676412156,8.139618581558247,2.028211562185289,12.770647491387425
43,Vincennes [8],2.9845891710368537,3.0626610264026803,-0.07807185536582661,1.4356321704049613,2.02823144621044,1.8431892480633476
44,Conger/Glenzer,10.525123987904259,10.53649350804132,-0.011369520137060718,2.6985654142859548,3.805137941950873,7.095647199271971
45,Tracy/Tremenchus,2.779812206074076,3.3255590017641508,-0.5457467956900746,2.0398511455163795,1.3295146140079837,1.3618548579232392
46,Shackleton,27.493677721350128,30.471590607273317,-2.977912885923189,29.741995916503022,0.9018594545992773,18.524783294603907
47,West,29.97713579999301,30.331226991495033,-0.35409119150202173,16.5758774991124,1.7643703114903388,20.491239215351353
48,Publications,1.4172252334894744,1.4703180531633335,-0.05309281967385915,2.000167511714367,0.6912714841542856,0.9123505034358055
49,Amery,10.6072400220665,20.48057527819902,-9.873335256132519,60.47835916284136,0.17111123704485107,8.414924838436699
50,Wilma/Robert/Downer,0.7798189863607677,0.784531194596262,-0.004712208235494231,1.0683301922624069,0.7121384536297051,0.43952768129359066
51,Edward VIII,0.4536761212544307,0.4589383942512059,-0.00526227299677523,0.6334556133863103,0.6987243315095518,0.2786596005885315
52,Rayner/Thyer,4.139863594167496,4.181028312833682,-0.04116471866618632,3.2744041729483815,1.2334736636211199,1.2015629114788935
53,Shirase,1.0495357375727117,1.0495357375727117,0.0,0.8366563937638072,1.2238444749614261,0.8775008597546118
54,Prince Harald,7.295971457992014,7.295971457992014,0.0,5.645770305680863,1.2607705502053619,4.695264250508445
55,Baudouin [9],26.612347182667577,26.712609232277313,-0.10026204960973573,34.26375462577365,0.7577472412943331,21.534339179263846
56,Borchgrevink,24.15886275895864,24.205629397294956,-0.046766638336315225,14.466849130013966,1.629216009100617,18.715615569296276
57,Lazarev,15.422526473652518,15.92365261730339,-0.5011261436508718,15.702730161032209,0.9582007165038904,12.803001774004295
58,Nivl,3.7786724066180715,5.547538116744248,-1.7688657101261769,7.896456981186471,0.4668561702769296,2.236366082778487
59,Vigrid,3.0394353519308,3.0707301671945464,-0.03129481526374622,2.4993054085023534,1.1864507523905998,2.106390308431692
60,Fimbul,21.89445725079725,22.257984943039716,-0.3635276922424673,17.217383594093096,1.2406325259354203,17.157681573912086
61,Jelbart,66.82976335018294,67.52534969172322,-0.6955863415402774,35.837641994754705,1.8193096837027538,57.699840218804695
62,Atka [8],3.2463272778602987,3.2791227221206087,-0.03279544426031,2.204175211459364,1.436886027617199,2.3897621988115403
63,Ekstrom,7.9240636218794105,8.37447626728126,-0.45041264540184933,6.913481489166911,1.1182200732810386,6.318334857814872
64,Quar,4.561140069817575,4.5908020780756305,-0.02966200825805565,2.4500440712808125,1.816250084315937,3.214759666791461
65,Riiser-Larsen,53.449940623164544,55.66500436320046,-2.215063740035916,52.10051011562575,1.000878559904065,45.25549224455084
66,Brunt/Stancomb,28.638422738508062,28.70082701052284,-0.06240427201477772,29.04238873515038,0.9620394822798666,21.477969129736415
67,Filchner,4.792801166219967,11.664100447346554,-6.8712992811265865,85.01902858704074,0.054998318076674726,3.7649612878880725
68,Sorsdal,0.5160075743936944,0.5234641310925647,-0.0074565566988703536,0.34428405032103654,1.4622287129749327,0.20955543826995007
69,Vostok,0.13370093926066656,1.3103043399181549,-1.1766034006574884,15.433818822971428,0.008451566150819987,0.13370093926066656
